repository	commit	branch	license	selected
pytorch/serve	62c4d6a1fdc1d071dbcf758ebd756029af20bd5e	master	Apache-2.0	4
tensorflow/tensorflow	27a00f41f1c9c5fc4de49f67823f3e638b6c8900	master	Apache-2.0	5
tensorflow/serving	83d89bf1c108d9925ed1da64339259c9b14fe55d	master	Apache-2.0	4
kubeflow/pipelines	2deeb0751fd87db6492ec8d2a8da452b50bd64b8	master	Apache-2.0	5
apache/beam	9833974946cb382aa3ea61d30591805d9da1243f	master	Apache-2.0	5
apache/arrow	aa78eb89733134c4a8db8b5840960676f96df103	main	Apache-2.0	5
apache/hadoop	5f5229f0d5be4639172b9b12b18629078b3e54f0	trunk	Apache-2.0	4
apache/hbase	4d417aacea684a9871931a8d30cf029127bb9c28	master	Apache-2.0	4
apache/nifi	5a6c47278d70a4c98a3b1403a80bc1ff748bf586	main	Apache-2.0	4
apache/ignite	36179fa4ed3b5b28b85a8c9622c9b1b513083754	master	Apache-2.0	4
hashicorp/boundary	a1e2c87b8a14eb1c8fd45a282f5e4e740f156b10	main	NOASSERTION	2
hashicorp/waypoint	b81cf848b44f57b95cb2e9766839582cc625d9c2	main	NOASSERTION	1
open-policy-agent/opa	2867db1526abef074b43a4bf156a702d27d9482e	main	Apache-2.0	2
falcosecurity/falco	f0ff194416f5daf34de5c71537de876e47d85c53	master	Apache-2.0	4
aquasecurity/tracee	fd7bb63c29904df8ea1681d81babcef42aa7fffd	main	Apache-2.0	4
rancher/fleet	4370b3be5b704b6ec0e947bf4ad7eb460e17e4bf	main	Apache-2.0	1
k0sproject/k0s	e0d03800f9cb09d8fcfa9936629d3eacf0a339ff	main	NOASSERTION	4
k3d-io/k3d	46f3480daa747ba71c155d0f619ce6aba7b95db9	main	MIT	1
gardener/gardener	7af0502c0df20241ae65f917c5f1ad1bc9ed7a90	master	Apache-2.0	2
openkruise/kruise	07169cfac7b9cf7800dda1b8652f850cc3184132	master	NOASSERTION	3
volcano-sh/volcano	4872fc71617e21c311bb2b917f4e4ad78cad30fd	master	Apache-2.0	4
kubesphere/kubesphere	04a29b5c601470fa6bc2f2e92358dcb802a0d414	master	NOASSERTION	1
keptn/keptn	318a3d5416a693617c3577f12b1984c183940f65	master	Apache-2.0	4
containerd/containerd	f2e253ffaa9dedeab7bf14ae448a5bcf76274821	main	Apache-2.0	3
opencontainers/runc	8d2f7df5cdcbd8d26b15457a9201f1c0ad426459	main	Apache-2.0	1
kata-containers/kata-containers	4900742a673379a1995f28be1e9a448cd8fe1e51	main	Apache-2.0	3
portainer/portainer	b7d4cfbd097ee0f1cbebcab961de3c6866eb5682	develop	Zlib	2
tailscale/tailscale	f4978b4b9b77df0febef1b77596e68b33bcdb077	main	BSD-3-Clause	2
bufbuild/buf	413e42aeaa296f19990f5aeae4ce08d6a30f6fe1	main	Apache-2.0	1
